date,location,temperature,rainfall,wind_speed
2023-04-17,Mumbai,33.5,16.0,6.1
2023-04-17,Delhi,34.2,10.7,6.4
2023-04-17,Chennai,34.1,16.3,10.8
2023-04-17,Kolkata,31.1,16.0,6.9
2023-04-17,Bangalore,36.0,12.2,5.5
2023-04-17,Hyderabad,35.7,15.9,7.8
2023-04-17,Ahmedabad,34.6,6.4,8.6
2023-04-17,Pune,30.3,15.8,7.7
2023-04-17,Jaipur,31.5,17.6,5.4
2023-04-17,Surat,33.9,13.5,5.8
2023-04-18,Mumbai,31.6,9.1,10.5
2023-04-18,Delhi,31.5,20.0,10.0
2023-04-18,Chennai,38.4,19.5,10.2
2023-04-18,Kolkata,35.6,8.3,8.0
2023-04-18,Bangalore,37.6,18.1,12.0
2023-04-18,Hyderabad,38.5,18.5,11.1
2023-04-18,Ahmedabad,35.9,17.5,9.4
2023-04-18,Pune,34.2,8.6,8.7
2023-04-18,Jaipur,33.3,19.7,13.2
2023-04-18,Surat,31.9,3.2,10.2
2023-04-19,Mumbai,36.2,10.1,12.1
2023-04-19,Delhi,39.1,3.1,8.6
2023-04-19,Chennai,34.2,2.1,9.6
2023-04-19,Kolkata,37.6,7.6,12.7
2023-04-19,Bangalore,33.4,3.0,11.5
2023-04-19,Hyderabad,33.9,17.9,5.8
2023-04-19,Ahmedabad,38.3,19.4,8.4
2023-04-19,Pune,31.2,1.8,6.9
2023-04-19,Jaipur,31.3,9.2,10.4
2023-04-19,Surat,31.5,19.9,7.8
2023-04-20,Mumbai,39.6,9.7,7.7
2023-04-20,Delhi,35.3,13.8,12.4
2023-04-20,Chennai,37.4,8.8,12.4
2023-04-20,Kolkata,37.5,14.2,7.9
2023-04-20,Bangalore,38.1,15.5,7.9
2023-04-20,Hyderabad,39.0,19.5,9.3
2023-04-20,Ahmedabad,31.1,9.7,5.7
2023-04-20,Pune,38.3,19.3,14.2
2023-04-20,Jaipur,37.7,9.8,12.5
2023-04-20,Surat,37.7,16.4,12.9
2023-04-21,Mumbai,39.0,1.2,8.9
2023-04-21,Delhi,37.7,3.1,6.1
2023-04-21,Chennai,34.4,12.6,8.7
2023-04-21,Kolkata,39.6,11.9,14.7
2023-04-21,Bangalore,38.4,11.5,9.9
2023-04-21,Hyderabad,36.6,9.1,7.3
2023-04-21,Ahmedabad,38.3,6.2,8.8
2023-04-21,Pune,30.3,10.2,9.8
2023-04-21,Jaipur,36.4,17.0,10.7
2023-04-21,Surat,39.9,11.8,12.6
2023-04-22,Mumbai,31.4,16.9,10.7
2023-04-22,Delhi,35.7,1.4,13.2
2023-04-22,Chennai,39.9,9.3,6.6
2023-04-22,Kolkata,34.3,3.0,11.2
2023-04-22,Bangalore,36.0,17.0,8.4
2023-04-22,Hyderabad,37.9,3.1,12.9
2023-04-22,Ahmedabad,37.9,17.5,12.1
2023-04-22,Pune,37.1,3.2,6.5
2023-04-22,Jaipur,34.6,13.0,11.0
2023-04-22,Surat,36.8,4.6,10.4
2023-04-23,Mumbai,37.2,9.2,7.3
2023-04-23,Delhi,32.5,3.8,14.5
2023-04-23,Chennai,36.6,3.8,5.7
2023-04-23,Kolkata,39.0,11.3,11.7
2023-04-23,Bangalore,31.6,16.7,10.9
2023-04-23,Hyderabad,34.7,12.5,6.7
2023-04-23,Ahmedabad,35.4,14.4,8.1
2023-04-23,Pune,37.9,17.1,8.6
2023-04-23,Jaipur,34.5,8.5,12.5
2023-04-23,Surat,30.1,12.6,7.2
2023-04-24,Mumbai,38.3,3.3,11.8
2023-04-24,Delhi,34.8,12.8,10.0
2023-04-24,Chennai,36.6,16.6,5.8
2023-04-24,Kolkata,38.7,6.4,14.1
2023-04-24,Bangalore,36.6,10.1,8.6
2023-04-24,Hyderabad,40.0,17.7,9.6
2023-04-24,Ahmedabad,37.5,0.0,7.2
2023-04-24,Pune,32.6,12.2,14.0
2023-04-24,Jaipur,33.5,5.0,14.9
2023-04-24,Surat,32.4,14.5,8.9
2023-04-25,Mumbai,32.1,18.6,13.6
2023-04-25,Delhi,34.7,15.4,8.7
2023-04-25,Chennai,37.8,8.7,6.3
2023-04-25,Kolkata,34.1,4.7,11.0
2023-04-25,Bangalore,35.4,18.7,11.7
2023-04-25,Hyderabad,40.0,15.6,6.1
2023-04-25,Ahmedabad,37.7,11.7,6.9
2023-04-25,Pune,32.6,16.9,6.1
2023-04-25,Jaipur,30.2,1.9,11.8
2023-04-25,Surat,38.2,7.4,5.0
2023-04-26,Mumbai,35.7,17.3,8.6
2023-04-26,Delhi,32.4,12.9,13.2
2023-04-26,Chennai,31.1,10.8,10.5
2023-04-26,Kolkata,30.8,4.0,10.7
2023-04-26,Bangalore,36.0,0.9,13.8
2023-04-26,Hyderabad,34.3,9.6,6.1
2023-04-26,Ahmedabad,38.5,18.7,5.6
2023-04-26,Pune,36.9,1.8,7.4
2023-04-26,Jaipur,39.0,7.3,5.6
2023-04-26,Surat,39.4,3.0,13.6
2023-04-27,Mumbai,35.0,15.6,6.5
2023-04-27,Delhi,39.5,18.9,13.6
2023-04-27,Chennai,30.7,13.9,13.2
2023-04-27,Kolkata,30.2,18.2,8.3
2023-04-27,Bangalore,34.5,10.6,8.7
2023-04-27,Hyderabad,33.7,5.3,9.0
2023-04-27,Ahmedabad,35.9,3.8,9.3
2023-04-27,Pune,32.6,0.1,8.7
2023-04-27,Jaipur,38.3,2.6,10.7
2023-04-27,Surat,32.9,5.0,11.5
2023-04-28,Mumbai,37.5,5.1,11.7
2023-04-28,Delhi,30.8,17.3,13.0
2023-04-28,Chennai,37.7,5.0,6.3
2023-04-28,Kolkata,35.4,11.1,11.0
2023-04-28,Bangalore,37.2,4.3,9.3
2023-04-28,Hyderabad,35.4,1.0,10.3
2023-04-28,Ahmedabad,31.6,8.1,10.1
2023-04-28,Pune,30.9,12.4,8.9
2023-04-28,Jaipur,34.4,13.9,10.7
2023-04-28,Surat,39.0,5.3,11.2
2023-04-29,Mumbai,39.5,18.2,14.0
2023-04-29,Delhi,31.1,1.7,12.4
2023-04-29,Chennai,33.5,17.7,11.7
2023-04-29,Kolkata,31.2,10.2,11.6
2023-04-29,Bangalore,30.9,6.4,10.9
2023-04-29,Hyderabad,36.4,10.2,5.9
2023-04-29,Ahmedabad,30.1,5.6,10.4
2023-04-29,Pune,35.2,17.3,8.0
2023-04-29,Jaipur,40.0,11.7,11.5
2023-04-29,Surat,31.6,5.2,10.5
2023-04-30,Mumbai,30.5,13.8,14.5
2023-04-30,Delhi,39.8,13.6,11.0
2023-04-30,Chennai,34.2,2.5,11.8
2023-04-30,Kolkata,32.5,5.3,7.7
2023-04-30,Bangalore,37.7,8.6,7.4
2023-04-30,Hyderabad,34.5,14.2,14.2
2023-04-30,Ahmedabad,39.2,2.8,7.4
2023-04-30,Pune,30.9,15.2,8.3
2023-04-30,Jaipur,34.5,6.4,5.9
2023-04-30,Surat,38.6,12.9,14.7
2023-05-01,Mumbai,30.4,14.1,13.6
2023-05-01,Delhi,36.2,15.8,6.0
2023-05-01,Chennai,38.4,1.0,7.2
2023-05-01,Kolkata,39.8,3.4,14.4
2023-05-01,Bangalore,34.2,6.7,6.0
2023-05-01,Hyderabad,37.5,12.8,7.6
2023-05-01,Ahmedabad,31.9,3.0,12.0
2023-05-01,Pune,33.0,19.2,12.1
2023-05-01,Jaipur,39.9,13.8,10.5
2023-05-01,Surat,38.0,9.8,14.7
2023-05-02,Mumbai,39.1,13.7,9.1
2023-05-02,Delhi,34.8,13.6,6.8
2023-05-02,Chennai,33.3,17.0,8.5
2023-05-02,Kolkata,32.0,9.9,6.1
2023-05-02,Bangalore,37.1,2.5,5.8
2023-05-02,Hyderabad,39.9,16.1,10.4
2023-05-02,Ahmedabad,36.7,9.7,13.0
2023-05-02,Pune,30.6,13.8,14.6
2023-05-02,Jaipur,32.7,13.0,11.0
2023-05-02,Surat,38.9,17.7,9.6
2023-05-03,Mumbai,31.7,4.1,6.6
2023-05-03,Delhi,37.6,0.8,10.9
2023-05-03,Chennai,36.6,14.3,14.9
2023-05-03,Kolkata,39.6,13.8,8.5
2023-05-03,Bangalore,35.3,15.6,9.5
2023-05-03,Hyderabad,30.2,18.2,11.1
2023-05-03,Ahmedabad,39.5,13.7,7.4
2023-05-03,Pune,36.2,16.9,10.4
2023-05-03,Jaipur,39.7,6.2,5.7
2023-05-03,Surat,34.1,6.5,6.4
2023-05-04,Mumbai,38.0,4.7,5.9
2023-05-04,Delhi,31.4,14.4,11.6
2023-05-04,Chennai,39.7,4.4,12.6
2023-05-04,Kolkata,33.8,18.8,10.1
2023-05-04,Bangalore,35.1,17.9,9.1
2023-05-04,Hyderabad,30.5,9.7,9.8
2023-05-04,Ahmedabad,36.6,3.2,7.8
2023-05-04,Pune,31.8,1.2,9.3
2023-05-04,Jaipur,38.4,8.0,5.4
2023-05-04,Surat,31.4,15.7,10.9
2023-05-05,Mumbai,39.8,10.4,8.1
2023-05-05,Delhi,35.6,13.9,6.4
2023-05-05,Chennai,34.1,1.6,11.4
2023-05-05,Kolkata,30.4,14.2,12.7
2023-05-05,Bangalore,32.0,5.0,8.1
2023-05-05,Hyderabad,30.7,2.9,10.8
2023-05-05,Ahmedabad,33.7,15.4,12.1
2023-05-05,Pune,31.5,19.1,7.9
2023-05-05,Jaipur,34.9,9.2,7.6
2023-05-05,Surat,34.0,2.5,7.9
2023-05-06,Mumbai,31.0,11.4,13.8
2023-05-06,Delhi,35.3,8.3,6.3
2023-05-06,Chennai,33.2,11.3,10.7
2023-05-06,Kolkata,36.8,7.3,8.2
2023-05-06,Bangalore,39.9,4.7,6.4
2023-05-06,Hyderabad,31.8,13.1,10.2
2023-05-06,Ahmedabad,38.7,1.9,9.0
2023-05-06,Pune,30.2,15.5,12.2
2023-05-06,Jaipur,31.8,4.9,7.9
2023-05-06,Surat,39.6,6.0,10.0
2023-05-07,Mumbai,34.8,19.6,12.2
2023-05-07,Delhi,36.4,15.4,13.6
2023-05-07,Chennai,35.7,18.3,10.0
2023-05-07,Kolkata,34.5,17.8,6.0
2023-05-07,Bangalore,36.2,2.1,5.6
2023-05-07,Hyderabad,32.9,6.9,9.4
2023-05-07,Ahmedabad,38.9,10.1,11.3
2023-05-07,Pune,33.2,14.3,9.6
2023-05-07,Jaipur,36.2,15.3,12.5
2023-05-07,Surat,33.3,19.2,14.0
2023-05-08,Mumbai,38.3,9.6,9.5
2023-05-08,Delhi,34.4,1.8,9.9
2023-05-08,Chennai,35.3,6.7,10.6
2023-05-08,Kolkata,36.0,1.7,9.4
2023-05-08,Bangalore,39.8,13.3,6.9
2023-05-08,Hyderabad,32.5,10.8,7.3
2023-05-08,Ahmedabad,31.7,0.8,8.0
2023-05-08,Pune,38.1,17.0,14.6
2023-05-08,Jaipur,35.6,14.5,13.7
2023-05-08,Surat,38.9,2.7,13.0
2023-05-09,Mumbai,39.0,0.1,5.4
2023-05-09,Delhi,37.2,18.1,9.5
2023-05-09,Chennai,39.0,17.9,12.7
2023-05-09,Kolkata,36.8,11.1,14.5
2023-05-09,Bangalore,39.7,1.2,10.7
2023-05-09,Hyderabad,33.1,5.7,6.2
2023-05-09,Ahmedabad,39.6,2.4,10.0
2023-05-09,Pune,32.0,18.1,14.4
2023-05-09,Jaipur,31.5,6.7,11.9
2023-05-09,Surat,39.7,17.0,13.2
2023-05-10,Mumbai,40.0,13.4,14.8
2023-05-10,Delhi,39.8,19.6,5.1
2023-05-10,Chennai,34.8,15.8,8.0
2023-05-10,Kolkata,31.6,18.0,9.5
2023-05-10,Bangalore,39.9,14.4,7.5
2023-05-10,Hyderabad,30.0,12.6,11.0
2023-05-10,Ahmedabad,33.8,0.8,10.9
2023-05-10,Pune,34.4,4.5,14.2
2023-05-10,Jaipur,36.3,19.6,9.9
2023-05-10,Surat,30.1,17.9,14.8
2023-05-11,Mumbai,32.6,2.3,14.2
2023-05-11,Delhi,32.3,18.5,8.6
2023-05-11,Chennai,36.2,19.6,11.9
2023-05-11,Kolkata,32.6,1.7,9.7
2023-05-11,Bangalore,32.0,5.3,11.3
2023-05-11,Hyderabad,38.5,8.1,5.2
2023-05-11,Ahmedabad,37.7,17.4,10.5
2023-05-11,Pune,38.0,5.1,5.4
2023-05-11,Jaipur,31.4,3.4,11.5
2023-05-11,Surat,35.4,4.7,10.8
2023-05-12,Mumbai,33.2,11.6,9.2
2023-05-12,Delhi,35.5,17.3,13.6
2023-05-12,Chennai,38.2,8.4,5.5
2023-05-12,Kolkata,39.0,16.0,11.1
2023-05-12,Bangalore,35.2,12.0,11.5
2023-05-12,Hyderabad,31.5,7.1,8.3
2023-05-12,Ahmedabad,37.5,12.6,13.0
2023-05-12,Pune,38.6,19.0,9.9
2023-05-12,Jaipur,34.3,4.6,8.4
2023-05-12,Surat,36.1,18.1,7.4
2023-05-13,Mumbai,38.1,11.9,11.3
2023-05-13,Delhi,38.6,8.8,10.0
2023-05-13,Chennai,38.1,15.7,13.8
2023-05-13,Kolkata,31.7,3.8,10.7
2023-05-13,Bangalore,35.7,18.3,12.6
2023-05-13,Hyderabad,31.1,7.0,14.5
2023-05-13,Ahmedabad,36.6,10.9,7.4
2023-05-13,Pune,35.6,10.8,10.5
2023-05-13,Jaipur,36.5,9.5,7.9
2023-05-13,Surat,39.8,0.9,11.6
2023-05-14,Mumbai,31.6,9.0,10.9
2023-05-14,Delhi,31.8,16.9,12.7
2023-05-14,Chennai,39.6,16.6,5.9
2023-05-14,Kolkata,35.6,1.5,12.4
2023-05-14,Bangalore,34.5,12.2,5.7
2023-05-14,Hyderabad,39.9,16.4,10.2
2023-05-14,Ahmedabad,36.8,1.6,8.2
2023-05-14,Pune,38.5,12.3,7.3
2023-05-14,Jaipur,39.5,10.1,13.9
2023-05-14,Surat,33.1,9.2,7.1
2023-05-15,Mumbai,37.8,2.3,13.6
2023-05-15,Delhi,35.6,19.5,11.3
2023-05-15,Chennai,31.1,10.6,5.2
2023-05-15,Kolkata,30.4,17.2,11.9
2023-05-15,Bangalore,30.6,14.0,8.4
2023-05-15,Hyderabad,35.5,17.7,10.0
2023-05-15,Ahmedabad,38.7,15.3,13.2
2023-05-15,Pune,34.7,13.0,13.3
2023-05-15,Jaipur,37.6,16.1,6.0
2023-05-15,Surat,33.7,9.2,7.9
2023-05-16,Mumbai,30.4,1.6,12.6
2023-05-16,Delhi,31.0,10.6,14.1
2023-05-16,Chennai,38.2,4.1,8.9
2023-05-16,Kolkata,38.3,14.1,11.9
2023-05-16,Bangalore,39.3,4.6,5.1
2023-05-16,Hyderabad,34.6,0.6,7.7
2023-05-16,Ahmedabad,33.9,8.0,13.3
2023-05-16,Pune,32.8,0.6,12.0
2023-05-16,Jaipur,36.2,11.9,6.4
2023-05-16,Surat,35.9,8.2,12.4
2023-05-17,Mumbai,39.6,12.8,7.1
2023-05-17,Delhi,38.6,12.9,6.2
2023-05-17,Chennai,32.1,6.9,12.8
2023-05-17,Kolkata,31.8,15.8,13.8
2023-05-17,Bangalore,37.7,9.0,14.7
2023-05-17,Hyderabad,34.9,9.4,9.6
2023-05-17,Ahmedabad,36.2,10.0,14.6
2023-05-17,Pune,32.7,6.5,10.1
2023-05-17,Jaipur,36.6,15.4,11.8
2023-05-17,Surat,30.9,19.0,7.5
2023-05-18,Mumbai,39.1,13.5,11.4
2023-05-18,Delhi,37.2,18.7,6.9
2023-05-18,Chennai,39.7,14.4,13.3
2023-05-18,Kolkata,39.3,6.6,6.4
2023-05-18,Bangalore,32.7,13.3,14.1
2023-05-18,Hyderabad,38.6,16.7,8.9
2023-05-18,Ahmedabad,35.1,2.0,7.7
2023-05-18,Pune,31.1,5.1,7.2
2023-05-18,Jaipur,39.3,19.6,10.8
2023-05-18,Surat,39.9,1.9,14.9
2023-05-19,Mumbai,35.0,2.9,12.3
2023-05-19,Delhi,39.8,12.0,6.8
2023-05-19,Chennai,37.0,6.8,7.5
2023-05-19,Kolkata,39.1,5.7,8.6
2023-05-19,Bangalore,37.1,16.4,12.3
2023-05-19,Hyderabad,30.8,5.8,6.2
2023-05-19,Ahmedabad,33.9,5.2,13.8
2023-05-19,Pune,36.4,3.1,6.6
2023-05-19,Jaipur,37.8,16.3,8.0
2023-05-19,Surat,30.4,13.9,10.2
2023-05-20,Mumbai,32.1,7.7,6.0
2023-05-20,Delhi,33.2,6.7,13.7
2023-05-20,Chennai,33.2,14.5,11.4
2023-05-20,Kolkata,37.7,6.7,5.4
2023-05-20,Bangalore,36.0,0.5,12.1
2023-05-20,Hyderabad,36.1,11.0,5.1
2023-05-20,Ahmedabad,32.5,17.5,14.7
2023-05-20,Pune,32.3,11.4,9.7
2023-05-20,Jaipur,38.3,8.1,9.4
2023-05-20,Surat,32.1,14.0,5.4
2023-05-21,Mumbai,30.4,7.1,7.4
2023-05-21,Delhi,30.4,8.5,13.5
2023-05-21,Chennai,36.4,1.6,13.2
2023-05-21,Kolkata,33.8,3.5,10.2
2023-05-21,Bangalore,36.2,0.7,11.1
